number,title,genre,plot,Running time,Box office,imdb
51,Herbie Rides Again,"Comedy, Family, Fantasy, Romance",The living Volkswagen Beetle helps an old lady protect her home from a corrupt developer.,88,38229000,5.7
52,The Bears and I,"Drama, Family",A man seeking peace and quiet finds himself father to three bears.,89,4000000,6.2
53,The Strongest Man in the World,"Comedy, Family, SciFi",Dexter Riley and his friends accidently discover a new chemical mixed with a cereal seems to give anyone temporary superhuman strength,92,6600000,6.1
54,Escape to Witch Mountain,"Adventure, Family, Fantasy, Mystery, SciFi",Two mysterious orphan children have extraordinary powers and are chased by a scheming millionaire. But where do these kids really call home?,97,20000000,6.4
55,The Apple Dumpling Gang,"Comedy, Family, Western",Three orphan children strike gold in 1878 California.,100,36853000,6.5
56,Gus,"Comedy, Family, Sport","The California Atoms are in last place with no hope of moving up. But by switching the mule from team mascot to team member, (He can kick 100 yard field goals!) they start winning, and move...",95,21873000,5.9
57,The Shaggy D.A.,"Comedy, Family, Fantasy",A lawyer makes an interesting discovery that could affect his chances of getting elected to office.,91,10500000,5.9
58,Freaky Friday,"Comedy, Family, Fantasy",A mother and daughter find their personalities switched and have to live each other's lives on one strange Friday.,95,36000000,6.2
59,The Rescuers,"Animation, Adventure, Comedy, Family, Fantasy",Two mice of the Rescue Aid Society search for a little girl kidnapped by unscrupulous treasure hunters.,77,169000000,6.9
60,Herbie Goes to Monte Carlo,"Action, Adventure, Comedy, Crime, Family, Romance, Sport","Herbie, the Volkswagen Beetle with a mind of its own, is racing in the Monte Carlo Rally. Unbeknownst to Herbie's driver, thieves have hidden a cache of stolen diamonds in Herbie's gas tank, and are now trying to get them back.",104,29000000,5.7
61,Pete's Dragon,"Animation, Adventure, Comedy, Family, Fantasy, Musical",An orphan boy and his magical dragon come to town with his abusive adoptive parents in pursuit.,128,36,6.7
62,The Apple Dumpling Gang Rides Again,"Comedy, Family, Western","The adventures of two idiotic outlaw wannabees, Amos and Theodore.",88,20931111,6.2
63,The Black Hole,"Action, SciFi","A research vessel finds a missing ship, commanded by a mysterious scientist, on the edge of a black hole.",98,35800000,6
64,Herbie Goes Bananas,"Adventure, Comedy, Family, Fantasy",The adorable little VW helps its owners break up a counterfeiting ring in Mexico.,98,18000000,5
65,The Fox and the Hound,"Animation, Adventure, Drama, Family",Two childhood friends find themselves forced to become enemies.,83,63500000,7.3
66,Return to Oz,"Adventure, Family, Fantasy, Horror, Mystery","Dorothy, saved from a psychiatric experiment by a mysterious girl, is somehow called back to Oz when a vain witch and the Nome King destroy everything that makes the magical land beautiful.",113,11100000,6.7
67,The Black Cauldron,"Animation, Action, Adventure, Family, Fantasy, Horror",A young boy and a bunch of misfit friends embark on a quest to find a dark magic item of ultimate power before a diabolical tyrant can.,80,21300000,6.4
68,The Journey of Natty Gann,"Adventure, Family","In the 1930s, a tomboy runs away from her guardian to join her single father who is 2,000 miles away, where he has found work.",101,9700000,7.1
69,One Magic Christmas,"Family, Fantasy","An angel must show a mother the true meaning of Christmas. It's not just presents and materialistic things, but the people she cares about.",89,13000000,6.5
70,The Great Mouse Detective,"Animation, Adventure, Family, Musical, Mystery","Basil, the rodent Sherlock Holmes, investigates the kidnapping of a toy maker and uncovers its link to his archenemy, Professor Ratigan.",74,38700000,7.2
71,Flight of the Navigator,"Adventure, Comedy, Family, SciFi","In 1978, a boy travels 8 years into the future and has an adventure with an intelligent, wisecracking alien ship.",90,18564613,6.9
72,Benji the Hunted,"Adventure, Family",Benji is left in the wilderness after an accident. Can he survive?,89,22300000,6.3
73,Oliver & Company,"Animation, Adventure, Comedy, Family, Musical",A lost and alone kitten joins a gang of dogs engaged in petty larceny in New York City.,74,121000000,6.7
74,"Honey, I Shrunk the Kids","Adventure, Comedy, Family, SciFi",The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.,93,222700000,6.4
75,Cheetah,"Adventure, Family","An American boy and girl, spending six months in Kenya with their scientist parents adopt a cheetah, only to realize that they must set it loose so that it can learn to hunt and be free. ...",84,8153677,6.1
76,DuckTales the Movie: Treasure of the Lost Lamp,"Animation, Adventure, Comedy, Family, Fantasy","Scrooge McDuck takes Huey, Dewey, and Louie to Egypt to find a pyramid and magic lamp.",69,18100000,6.9
77,The Rescuers Down Under,"Animation, Adventure, Crime, Drama, Family, Fantasy, Mystery","The R.A.S. agents, Miss Bianca and Bernard, race to Australia to save a little boy and a rare golden eagle from a murderous poacher.",77,47400000,6.9
78,White Fang,"Adventure, Drama",Jack London's classic adventure story about the friendship developed between a Yukon gold hunter and the mixed dog-wolf he rescues from the hands of a man who mistreats him.,107,34800000,6.7
79,Shipwrecked,"Adventure, Family",A young Norwegian boy in 1850s England goes to work as a cabin boy and discovers some of his shipmates are actually pirates.,93,15100000,6.7
80,The Rocketeer,"Action, Adventure, Family, SciFi",A young pilot stumbles onto a prototype jetpack that allows him to become a high-flying masked hero.,108,46700000,6.5
81,Beauty and the Beast,"Animation, Family, Fantasy, Musical, Romance",A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,84,440100000,8
82,Newsies,"Drama, Family, History, Musical",A musical based on the New York City newsboy strike of 1899. When young newspaper sellers are exploited beyond reason by their bosses they set out to enact change and are met by the ruthlessness of big business.,121,2800000,7
83,"Honey, I Blew Up the Kid","Adventure, Comedy, Family, Romance, SciFi","The Szalinski family is back, this time hilarious disaster strikes when an experiment causes their new toddler son to grow many stories tall.",89,58700000,4.9
84,Aladdin,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,90,504100000,8
85,The Muppet Christmas Carol,"Comedy, Drama, Family, Fantasy, Musical",The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.,86,27200000,7.7
86,Homeward Bound: The Incredible Journey,"Adventure, Comedy, Drama, Family",Three pets escape from a California ranch to find their owners in San Francisco.,84,41800000,6.9
87,The Adventures of Huck Finn,"Adventure, Comedy, Drama, Family","In Missouri, during the 1840s, young Huck Finn fearful of his drunkard father and yearning for adventure, leaves his foster family and joins with runaway slave Jim in a voyage down the Mississippi River toward slavery free states.",107,24100000,6.2
88,Hocus Pocus,"Comedy, Family, Fantasy","A curious youngster moves to Salem, where he struggles to fit in before awakening a trio of diabolical witches that were executed in the 17th century.",96,44900000,6.9
89,Cool Runnings,"Adventure, Comedy, Family, History, Sport","When a Jamaican sprinter is disqualified from the Olympic Games, he enlists the help of a dishonored coach to start the first Jamaican Bobsled Team.",98,154900000,7
90,The Three Musketeers,"Action, Adventure, Comedy, Family, Romance","France, 1625: Young d'Artagnan heads to Paris to join the Musketeers but the evil cardinal has disbanded them - save 3. He meets the 3, Athos, Porthos and Aramis, and joins them on their quest to save the king and country.",105,53900000,5.7
91,Iron Will,"Adventure, Family",A brave young man is thrust into adulthood as he and his courageous team of sled dogs embark on a grueling and treacherous cross-country marathon.,108,21000000,6.6
92,Blank Check,"Comedy, Crime, Family","A young boy inadvertently gains possession of a check for $1 million and proceeds to spend it, unaware that the gangsters to whom it belongs are in pursuit.",94,30600000,5.3
93,The Lion King,"Animation, Adventure, Drama, Family, Musical","After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",88,968500000,8.5
94,The Santa Clause,"Comedy, Drama, Family, Fantasy","When a man inadvertently makes Santa fall off of his roof on Christmas Eve, he finds himself magically recruited to take his place.",97,189800000,6.5
95,Heavyweights,"Comedy, Drama, Family, Sport","Plump kids are lured into joining a posh fat camp with the promise of quick weight loss and good times, only to find that the facility is a woodland hellhole run by a psycho ex-fitness instructor.",100,17600000,6.7
96,Tall Tale,"Adventure, Family, Fantasy, Western",A young boy draws on the inspiration of legendary western characters to find the strength to fight an evil land baron in the old west who wants to steal his family's farm and destroy their ...,98,11000000,5.9
97,A Goofy Movie,"Animation, Adventure, Comedy, Family, Musical, Romance","When Max makes a preposterous promise to a girl he has a crush on, his chances to fulfilling it seem hopeless when he is dragged onto a cross-country trip with his embarrassing father, Goofy.",78,35300000,6.9
98,Pocahontas,"Animation, Adventure, Drama, Family, Musical, Romance",An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,81,346100000,6.7
99,Operation Dumbo Drop,"Action, Adventure, Comedy, Drama, Family, War","To keep the loyalty of a village during the Vietnam war, a U.S. Army officer and his unit struggle to deliver it a live elephant.",108,24670346,5.1
